source_dataset,source_id,ea_id
MELD,MELD/train/dia4/utt5,EAQ100048
MELD,MELD/train/dia4/utt6,EAQ100049
MELD,MELD/train/dia4/utt7,EAQ100050
MELD,MELD/train/dia4/utt8,EAQ100051
MELD,MELD/train/dia4/utt9,EAQ100052
MELD,MELD/train/dia4/utt10,EAQ100053
MELD,MELD/train/dia4/utt11,EAQ100054
MELD,MELD/train/dia4/utt12,EAQ100055
MELD,MELD/train/dia4/utt13,EAQ100056
MELD,MELD/train/dia4/utt14,EAQ100057
MELD,MELD/train/dia5/utt0,EAQ100058
MELD,MELD/train/dia5/utt1,EAQ100059
MELD,MELD/train/dia5/utt2,EAQ100060
MELD,MELD/train/dia5/utt3,EAQ100061
MELD,MELD/train/dia6/utt0,EAQ100062
MELD,MELD/train/dia6/utt1,EAQ100063
MELD,MELD/train/dia6/utt2,EAQ100064
MELD,MELD/train/dia6/utt3,EAQ100065
MELD,MELD/train/dia6/utt4,EAQ100066
MELD,MELD/train/dia6/utt5,EAQ100067
MELD,MELD/train/dia6/utt6,EAQ100068
MELD,MELD/train/dia6/utt7,EAQ100069
MELD,MELD/train/dia6/utt8,EAQ100070
MELD,MELD/train/dia6/utt9,EAQ100071
MELD,MELD/train/dia6/utt10,EAQ100072
MELD,MELD/train/dia6/utt11,EAQ100073
MELD,MELD/train/dia6/utt12,EAQ100074
MELD,MELD/train/dia6/utt13,EAQ100075
MELD,MELD/train/dia6/utt14,EAQ100076
MELD,MELD/train/dia6/utt15,EAQ100077
MELD,MELD/train/dia6/utt16,EAQ100078
MELD,MELD/train/dia6/utt17,EAQ100079
MELD,MELD/train/dia6/utt18,EAQ100080
MELD,MELD/train/dia6/utt19,EAQ100081
MELD,MELD/train/dia6/utt20,EAQ100082
MELD,MELD/train/dia6/utt21,EAQ100083
MELD,MELD/train/dia7/utt0,EAQ100084
MELD,MELD/train/dia7/utt1,EAQ100085
MELD,MELD/train/dia8/utt0,EAQ100086
MELD,MELD/train/dia8/utt1,EAQ100087
MELD,MELD/train/dia8/utt2,EAQ100088
MELD,MELD/train/dia8/utt3,EAQ100089
MELD,MELD/train/dia8/utt4,EAQ100090
MELD,MELD/train/dia8/utt5,EAQ100091
MELD,MELD/train/dia8/utt6,EAQ100092
MELD,MELD/train/dia9/utt0,EAQ100093
MELD,MELD/train/dia9/utt1,EAQ100094
MELD,MELD/train/dia9/utt2,EAQ100095
MELD,MELD/train/dia9/utt3,EAQ100096
MELD,MELD/train/dia9/utt4,EAQ100097
MELD,MELD/train/dia9/utt5,EAQ100098
MELD,MELD/train/dia9/utt6,EAQ100099
MELD,MELD/train/dia9/utt7,EAQ100100
MELD,MELD/train/dia9/utt8,EAQ100101
MELD,MELD/train/dia9/utt9,EAQ100102
MELD,MELD/train/dia9/utt10,EAQ100103
MELD,MELD/train/dia9/utt11,EAQ100104
MELD,MELD/train/dia9/utt12,EAQ100105
MELD,MELD/train/dia9/utt13,EAQ100106
MELD,MELD/train/dia10/utt0,EAQ100107
MELD,MELD/train/dia10/utt1,EAQ100108
MELD,MELD/train/dia10/utt2,EAQ100109
MELD,MELD/train/dia10/utt3,EAQ100110
MELD,MELD/train/dia10/utt4,EAQ100111
MELD,MELD/train/dia10/utt5,EAQ100112
MELD,MELD/train/dia11/utt0,EAQ100113
MELD,MELD/train/dia11/utt1,EAQ100114
MELD,MELD/train/dia11/utt2,EAQ100115
MELD,MELD/train/dia11/utt3,EAQ100116
MELD,MELD/train/dia11/utt4,EAQ100117
MELD,MELD/train/dia11/utt5,EAQ100118
MELD,MELD/train/dia11/utt6,EAQ100119
MELD,MELD/train/dia11/utt7,EAQ100120
MELD,MELD/train/dia11/utt8,EAQ100121
MELD,MELD/train/dia11/utt9,EAQ100122
MELD,MELD/train/dia12/utt0,EAQ100123
MELD,MELD/train/dia12/utt1,EAQ100124
MELD,MELD/train/dia12/utt2,EAQ100125
MELD,MELD/train/dia12/utt3,EAQ100126
MELD,MELD/train/dia12/utt4,EAQ100127
MELD,MELD/train/dia12/utt5,EAQ100128
MELD,MELD/train/dia12/utt6,EAQ100129
MELD,MELD/train/dia12/utt7,EAQ100130
MELD,MELD/train/dia12/utt8,EAQ100131
MELD,MELD/train/dia12/utt9,EAQ100132
MELD,MELD/train/dia12/utt10,EAQ100133
MELD,MELD/train/dia12/utt11,EAQ100134
MELD,MELD/train/dia13/utt0,EAQ100135
MELD,MELD/train/dia13/utt1,EAQ100136
MELD,MELD/train/dia13/utt2,EAQ100137
MELD,MELD/train/dia13/utt3,EAQ100138
MELD,MELD/train/dia14/utt0,EAQ100139
MELD,MELD/train/dia14/utt1,EAQ100140
MELD,MELD/train/dia14/utt2,EAQ100141
MELD,MELD/train/dia14/utt3,EAQ100142
MELD,MELD/train/dia14/utt4,EAQ100143
MELD,MELD/train/dia14/utt5,EAQ100144
MELD,MELD/train/dia15/utt0,EAQ100145
MELD,MELD/train/dia15/utt1,EAQ100146
MELD,MELD/train/dia15/utt2,EAQ100147
MELD,MELD/train/dia15/utt3,EAQ100148
MELD,MELD/train/dia15/utt4,EAQ100149
MELD,MELD/train/dia15/utt5,EAQ100150
MELD,MELD/train/dia15/utt6,EAQ100151
MELD,MELD/train/dia15/utt7,EAQ100152
MELD,MELD/train/dia15/utt8,EAQ100153
MELD,MELD/train/dia15/utt9,EAQ100154
MELD,MELD/train/dia15/utt10,EAQ100155
MELD,MELD/train/dia15/utt11,EAQ100156
MELD,MELD/train/dia15/utt12,EAQ100157
MELD,MELD/train/dia15/utt13,EAQ100158
MELD,MELD/train/dia15/utt14,EAQ100159
MELD,MELD/train/dia15/utt15,EAQ100160
MELD,MELD/train/dia15/utt16,EAQ100161
MELD,MELD/train/dia15/utt17,EAQ100162
MELD,MELD/train/dia15/utt18,EAQ100163
MELD,MELD/train/dia15/utt19,EAQ100164
MELD,MELD/train/dia15/utt20,EAQ100165
MELD,MELD/train/dia15/utt21,EAQ100166
MELD,MELD/train/dia15/utt22,EAQ100167
MELD,MELD/train/dia16/utt0,EAQ100168
MELD,MELD/train/dia16/utt1,EAQ100169
MELD,MELD/train/dia16/utt2,EAQ100170
MELD,MELD/train/dia16/utt3,EAQ100171
MELD,MELD/train/dia16/utt4,EAQ100172
MELD,MELD/train/dia16/utt5,EAQ100173
MELD,MELD/train/dia17/utt0,EAQ100174
MELD,MELD/train/dia17/utt1,EAQ100175
MELD,MELD/train/dia17/utt2,EAQ100176
MELD,MELD/train/dia17/utt3,EAQ100177
MELD,MELD/train/dia17/utt4,EAQ100178
MELD,MELD/train/dia17/utt5,EAQ100179
MELD,MELD/train/dia17/utt6,EAQ100180
MELD,MELD/train/dia17/utt7,EAQ100181
MELD,MELD/train/dia17/utt8,EAQ100182
MELD,MELD/train/dia17/utt9,EAQ100183
MELD,MELD/train/dia17/utt10,EAQ100184
MELD,MELD/train/dia18/utt0,EAQ100185
MELD,MELD/train/dia18/utt1,EAQ100186
MELD,MELD/train/dia18/utt2,EAQ100187
MELD,MELD/train/dia18/utt3,EAQ100188
MELD,MELD/train/dia18/utt4,EAQ100189
MELD,MELD/train/dia18/utt5,EAQ100190
MELD,MELD/train/dia18/utt6,EAQ100191
MELD,MELD/train/dia18/utt7,EAQ100192
MELD,MELD/train/dia18/utt8,EAQ100193
MELD,MELD/train/dia18/utt9,EAQ100194
MELD,MELD/train/dia18/utt10,EAQ100195
MELD,MELD/train/dia19/utt0,EAQ100196
MELD,MELD/train/dia19/utt1,EAQ100197
MELD,MELD/train/dia20/utt0,EAQ100198
MELD,MELD/train/dia20/utt1,EAQ100199
MELD,MELD/train/dia20/utt2,EAQ100200
MELD,MELD/train/dia20/utt3,EAQ100201
MELD,MELD/train/dia20/utt4,EAQ100202
MELD,MELD/train/dia20/utt5,EAQ100203
MELD,MELD/train/dia20/utt6,EAQ100204
MELD,MELD/train/dia20/utt7,EAQ100205
MELD,MELD/train/dia20/utt8,EAQ100206
MELD,MELD/train/dia20/utt9,EAQ100207
MELD,MELD/train/dia20/utt10,EAQ100208
MELD,MELD/train/dia20/utt11,EAQ100209
MELD,MELD/train/dia20/utt12,EAQ100210
MELD,MELD/train/dia20/utt13,EAQ100211
MELD,MELD/train/dia20/utt14,EAQ100212
MELD,MELD/train/dia20/utt15,EAQ100213
MELD,MELD/train/dia20/utt16,EAQ100214
MELD,MELD/train/dia21/utt0,EAQ100215
MELD,MELD/train/dia21/utt1,EAQ100216
MELD,MELD/train/dia21/utt2,EAQ100217
MELD,MELD/train/dia21/utt3,EAQ100218
MELD,MELD/train/dia21/utt4,EAQ100219
MELD,MELD/train/dia21/utt5,EAQ100220
MELD,MELD/train/dia21/utt6,EAQ100221
MELD,MELD/train/dia21/utt7,EAQ100222
MELD,MELD/train/dia21/utt8,EAQ100223
MELD,MELD/train/dia21/utt9,EAQ100224
MELD,MELD/train/dia21/utt10,EAQ100225
MELD,MELD/train/dia21/utt11,EAQ100226
MELD,MELD/train/dia21/utt12,EAQ100227
MELD,MELD/train/dia21/utt13,EAQ100228
MELD,MELD/train/dia22/utt0,EAQ100229
MELD,MELD/train/dia22/utt1,EAQ100230
MELD,MELD/train/dia22/utt2,EAQ100231
MELD,MELD/train/dia22/utt3,EAQ100232
MELD,MELD/train/dia23/utt0,EAQ100233
MELD,MELD/train/dia23/utt1,EAQ100234
MELD,MELD/train/dia23/utt2,EAQ100235
MELD,MELD/train/dia23/utt3,EAQ100236
MELD,MELD/train/dia23/utt4,EAQ100237
MELD,MELD/train/dia23/utt5,EAQ100238
MELD,MELD/train/dia23/utt6,EAQ100239
MELD,MELD/train/dia23/utt7,EAQ100240
MELD,MELD/train/dia23/utt8,EAQ100241
MELD,MELD/train/dia24/utt0,EAQ100242
MELD,MELD/train/dia24/utt1,EAQ100243
MELD,MELD/train/dia24/utt2,EAQ100244
MELD,MELD/train/dia24/utt3,EAQ100245
MELD,MELD/train/dia24/utt4,EAQ100246
MELD,MELD/train/dia24/utt5,EAQ100247
MELD,MELD/train/dia24/utt6,EAQ100248
MELD,MELD/train/dia24/utt7,EAQ100249
MELD,MELD/train/dia24/utt8,EAQ100250
MELD,MELD/train/dia25/utt0,EAQ100251
MELD,MELD/train/dia25/utt1,EAQ100252
MELD,MELD/train/dia25/utt2,EAQ100253
MELD,MELD/train/dia25/utt3,EAQ100254
MELD,MELD/train/dia25/utt4,EAQ100255
MELD,MELD/train/dia25/utt5,EAQ100256
MELD,MELD/train/dia25/utt6,EAQ100257
MELD,MELD/train/dia25/utt7,EAQ100258
MELD,MELD/train/dia25/utt8,EAQ100259
MELD,MELD/train/dia25/utt9,EAQ100260
MELD,MELD/train/dia25/utt10,EAQ100261
MELD,MELD/train/dia25/utt11,EAQ100262
MELD,MELD/train/dia25/utt12,EAQ100263
MELD,MELD/train/dia25/utt13,EAQ100264
MELD,MELD/train/dia26/utt0,EAQ100265
MELD,MELD/train/dia26/utt1,EAQ100266
MELD,MELD/train/dia26/utt2,EAQ100267
MELD,MELD/train/dia26/utt3,EAQ100268
MELD,MELD/train/dia26/utt4,EAQ100269
MELD,MELD/train/dia26/utt5,EAQ100270
MELD,MELD/train/dia26/utt6,EAQ100271
MELD,MELD/train/dia26/utt7,EAQ100272
MELD,MELD/train/dia26/utt8,EAQ100273
MELD,MELD/train/dia26/utt9,EAQ100274
MELD,MELD/train/dia26/utt10,EAQ100275
MELD,MELD/train/dia26/utt11,EAQ100276
MELD,MELD/train/dia26/utt12,EAQ100277
MELD,MELD/train/dia26/utt13,EAQ100278
MELD,MELD/train/dia27/utt0,EAQ100279
MELD,MELD/train/dia27/utt1,EAQ100280
MELD,MELD/train/dia28/utt0,EAQ100281
MELD,MELD/train/dia28/utt1,EAQ100282
MELD,MELD/train/dia28/utt2,EAQ100283
MELD,MELD/train/dia28/utt3,EAQ100284
MELD,MELD/train/dia28/utt4,EAQ100285
MELD,MELD/train/dia28/utt5,EAQ100286
MELD,MELD/train/dia28/utt6,EAQ100287
MELD,MELD/train/dia28/utt7,EAQ100288
MELD,MELD/train/dia29/utt0,EAQ100289
MELD,MELD/train/dia29/utt1,EAQ100290
MELD,MELD/train/dia29/utt2,EAQ100291
MELD,MELD/train/dia29/utt3,EAQ100292
MELD,MELD/train/dia29/utt4,EAQ100293
MELD,MELD/train/dia29/utt6,EAQ100294
MELD,MELD/train/dia29/utt7,EAQ100295
MELD,MELD/train/dia29/utt8,EAQ100296
MELD,MELD/train/dia29/utt9,EAQ100297
MELD,MELD/train/dia29/utt10,EAQ100298
MELD,MELD/train/dia29/utt11,EAQ100299
MELD,MELD/train/dia29/utt12,EAQ100300
MELD,MELD/train/dia29/utt13,EAQ100301
MELD,MELD/train/dia30/utt0,EAQ100302
MELD,MELD/train/dia30/utt1,EAQ100303
MELD,MELD/train/dia30/utt2,EAQ100304
MELD,MELD/train/dia30/utt3,EAQ100305
MELD,MELD/train/dia30/utt4,EAQ100306
MELD,MELD/train/dia30/utt5,EAQ100307
MELD,MELD/train/dia30/utt6,EAQ100308
MELD,MELD/train/dia30/utt7,EAQ100309
MELD,MELD/train/dia30/utt8,EAQ100310
MELD,MELD/train/dia30/utt9,EAQ100311
MELD,MELD/train/dia30/utt10,EAQ100312
MELD,MELD/train/dia30/utt11,EAQ100313
MELD,MELD/train/dia30/utt12,EAQ100314
MELD,MELD/train/dia30/utt13,EAQ100315
MELD,MELD/train/dia30/utt14,EAQ100316
MELD,MELD/train/dia30/utt15,EAQ100317
MELD,MELD/train/dia31/utt0,EAQ100318
MELD,MELD/train/dia31/utt1,EAQ100319
MELD,MELD/train/dia31/utt2,EAQ100320
MELD,MELD/train/dia31/utt3,EAQ100321
MELD,MELD/train/dia32/utt0,EAQ100322
MELD,MELD/train/dia32/utt1,EAQ100323
MELD,MELD/train/dia32/utt2,EAQ100324
MELD,MELD/train/dia32/utt3,EAQ100325
MELD,MELD/train/dia32/utt4,EAQ100326
MELD,MELD/train/dia32/utt5,EAQ100327
MELD,MELD/train/dia32/utt6,EAQ100328
MELD,MELD/train/dia32/utt7,EAQ100329
MELD,MELD/train/dia32/utt8,EAQ100330
MELD,MELD/train/dia32/utt9,EAQ100331
MELD,MELD/train/dia32/utt10,EAQ100332
MELD,MELD/train/dia32/utt11,EAQ100333
MELD,MELD/train/dia32/utt12,EAQ100334
MELD,MELD/train/dia32/utt13,EAQ100335
MELD,MELD/train/dia32/utt14,EAQ100336
MELD,MELD/train/dia32/utt15,EAQ100337
MELD,MELD/train/dia32/utt16,EAQ100338
MELD,MELD/train/dia32/utt17,EAQ100339
MELD,MELD/train/dia32/utt18,EAQ100340
MELD,MELD/train/dia33/utt0,EAQ100341
MELD,MELD/train/dia33/utt1,EAQ100342
MELD,MELD/train/dia33/utt2,EAQ100343
MELD,MELD/train/dia33/utt3,EAQ100344
MELD,MELD/train/dia33/utt4,EAQ100345
MELD,MELD/train/dia33/utt5,EAQ100346
MELD,MELD/train/dia33/utt6,EAQ100347
MELD,MELD/train/dia33/utt7,EAQ100348
MELD,MELD/train/dia33/utt8,EAQ100349
MELD,MELD/train/dia33/utt9,EAQ100350
MELD,MELD/train/dia33/utt10,EAQ100351
MELD,MELD/train/dia34/utt0,EAQ100352
MELD,MELD/train/dia34/utt1,EAQ100353
MELD,MELD/train/dia34/utt2,EAQ100354
MELD,MELD/train/dia34/utt3,EAQ100355
MELD,MELD/train/dia34/utt4,EAQ100356
MELD,MELD/train/dia34/utt5,EAQ100357
MELD,MELD/train/dia34/utt6,EAQ100358
MELD,MELD/train/dia34/utt7,EAQ100359
MELD,MELD/train/dia34/utt8,EAQ100360
MELD,MELD/train/dia34/utt9,EAQ100361
MELD,MELD/train/dia34/utt10,EAQ100362
MELD,MELD/train/dia34/utt11,EAQ100363
MELD,MELD/train/dia34/utt12,EAQ100364
MELD,MELD/train/dia34/utt13,EAQ100365
MELD,MELD/train/dia35/utt0,EAQ100366
MELD,MELD/train/dia35/utt1,EAQ100367
MELD,MELD/train/dia35/utt2,EAQ100368
MELD,MELD/train/dia35/utt3,EAQ100369
MELD,MELD/train/dia35/utt4,EAQ100370
MELD,MELD/train/dia35/utt5,EAQ100371
MELD,MELD/train/dia36/utt0,EAQ100372
MELD,MELD/train/dia36/utt1,EAQ100373
MELD,MELD/train/dia36/utt2,EAQ100374
MELD,MELD/train/dia36/utt3,EAQ100375
MELD,MELD/train/dia36/utt4,EAQ100376
MELD,MELD/train/dia36/utt5,EAQ100377
MELD,MELD/train/dia37/utt0,EAQ100378
MELD,MELD/train/dia37/utt1,EAQ100379
MELD,MELD/train/dia37/utt2,EAQ100380
MELD,MELD/train/dia37/utt3,EAQ100381
MELD,MELD/train/dia38/utt0,EAQ100382
MELD,MELD/train/dia38/utt1,EAQ100383
MELD,MELD/train/dia38/utt2,EAQ100384
MELD,MELD/train/dia38/utt3,EAQ100385
MELD,MELD/train/dia38/utt4,EAQ100386
MELD,MELD/train/dia38/utt5,EAQ100387
MELD,MELD/train/dia38/utt6,EAQ100388
MELD,MELD/train/dia38/utt7,EAQ100389
MELD,MELD/train/dia38/utt8,EAQ100390
MELD,MELD/train/dia38/utt9,EAQ100391
MELD,MELD/train/dia38/utt10,EAQ100392
MELD,MELD/train/dia38/utt11,EAQ100393
MELD,MELD/train/dia39/utt0,EAQ100394
MELD,MELD/train/dia39/utt1,EAQ100395
MELD,MELD/train/dia39/utt2,EAQ100396
MELD,MELD/train/dia39/utt3,EAQ100397
MELD,MELD/train/dia39/utt4,EAQ100398
MELD,MELD/train/dia39/utt5,EAQ100399
MELD,MELD/train/dia39/utt6,EAQ100400
MELD,MELD/train/dia39/utt7,EAQ100401
MELD,MELD/train/dia39/utt8,EAQ100402
MELD,MELD/train/dia39/utt9,EAQ100403
MELD,MELD/train/dia39/utt10,EAQ100404
MELD,MELD/train/dia39/utt11,EAQ100405
MELD,MELD/train/dia39/utt12,EAQ100406
MELD,MELD/train/dia39/utt13,EAQ100407
MELD,MELD/train/dia39/utt14,EAQ100408
MELD,MELD/train/dia39/utt15,EAQ100409
MELD,MELD/train/dia39/utt16,EAQ100410
MELD,MELD/train/dia39/utt17,EAQ100411
MELD,MELD/train/dia39/utt18,EAQ100412
MELD,MELD/train/dia40/utt0,EAQ100413
MELD,MELD/train/dia40/utt1,EAQ100414
MELD,MELD/train/dia40/utt2,EAQ100415
MELD,MELD/train/dia40/utt3,EAQ100416
MELD,MELD/train/dia40/utt4,EAQ100417
MELD,MELD/train/dia40/utt5,EAQ100418
MELD,MELD/train/dia40/utt6,EAQ100419
MELD,MELD/train/dia40/utt7,EAQ100420
MELD,MELD/train/dia40/utt8,EAQ100421
MELD,MELD/train/dia40/utt9,EAQ100422
MELD,MELD/train/dia40/utt10,EAQ100423
MELD,MELD/train/dia40/utt11,EAQ100424
MELD,MELD/train/dia40/utt12,EAQ100425
MELD,MELD/train/dia40/utt13,EAQ100426
MELD,MELD/train/dia40/utt14,EAQ100427
MELD,MELD/train/dia41/utt0,EAQ100428
MELD,MELD/train/dia41/utt1,EAQ100429
MELD,MELD/train/dia41/utt2,EAQ100430
MELD,MELD/train/dia41/utt3,EAQ100431
MELD,MELD/train/dia41/utt4,EAQ100432
MELD,MELD/train/dia41/utt5,EAQ100433
MELD,MELD/train/dia41/utt6,EAQ100434
MELD,MELD/train/dia41/utt7,EAQ100435
MELD,MELD/train/dia41/utt8,EAQ100436
MELD,MELD/train/dia41/utt9,EAQ100437
MELD,MELD/train/dia41/utt10,EAQ100438
MELD,MELD/train/dia41/utt11,EAQ100439
MELD,MELD/train/dia41/utt12,EAQ100440
MELD,MELD/train/dia41/utt13,EAQ100441
MELD,MELD/train/dia41/utt14,EAQ100442
MELD,MELD/train/dia41/utt15,EAQ100443
MELD,MELD/train/dia42/utt0,EAQ100444
MELD,MELD/train/dia42/utt1,EAQ100445
MELD,MELD/train/dia43/utt0,EAQ100446
MELD,MELD/train/dia43/utt1,EAQ100447
MELD,MELD/train/dia43/utt2,EAQ100448
MELD,MELD/train/dia43/utt3,EAQ100449
MELD,MELD/train/dia43/utt4,EAQ100450
MELD,MELD/train/dia43/utt5,EAQ100451
MELD,MELD/train/dia43/utt6,EAQ100452
MELD,MELD/train/dia44/utt0,EAQ100453
MELD,MELD/train/dia44/utt1,EAQ100454
MELD,MELD/train/dia44/utt2,EAQ100455
MELD,MELD/train/dia45/utt0,EAQ100456
MELD,MELD/train/dia45/utt1,EAQ100457
MELD,MELD/train/dia45/utt2,EAQ100458
MELD,MELD/train/dia45/utt3,EAQ100459
MELD,MELD/train/dia45/utt4,EAQ100460
MELD,MELD/train/dia46/utt0,EAQ100461
MELD,MELD/train/dia46/utt1,EAQ100462
MELD,MELD/train/dia46/utt2,EAQ100463
MELD,MELD/train/dia46/utt3,EAQ100464
MELD,MELD/train/dia46/utt4,EAQ100465
MELD,MELD/train/dia46/utt5,EAQ100466
MELD,MELD/train/dia46/utt6,EAQ100467
MELD,MELD/train/dia46/utt7,EAQ100468
MELD,MELD/train/dia46/utt8,EAQ100469
MELD,MELD/train/dia46/utt9,EAQ100470
MELD,MELD/train/dia46/utt10,EAQ100471
MELD,MELD/train/dia46/utt11,EAQ100472
MELD,MELD/train/dia46/utt12,EAQ100473
MELD,MELD/train/dia46/utt13,EAQ100474
MELD,MELD/train/dia46/utt14,EAQ100475
MELD,MELD/train/dia47/utt0,EAQ100476
MELD,MELD/train/dia47/utt1,EAQ100477
MELD,MELD/train/dia47/utt2,EAQ100478
MELD,MELD/train/dia47/utt3,EAQ100479
MELD,MELD/train/dia47/utt4,EAQ100480
MELD,MELD/train/dia47/utt5,EAQ100481
MELD,MELD/train/dia47/utt6,EAQ100482
MELD,MELD/train/dia47/utt7,EAQ100483
MELD,MELD/train/dia47/utt8,EAQ100484
MELD,MELD/train/dia47/utt9,EAQ100485
MELD,MELD/train/dia47/utt11,EAQ100486
MELD,MELD/train/dia47/utt12,EAQ100487
MELD,MELD/train/dia47/utt13,EAQ100488
MELD,MELD/train/dia47/utt14,EAQ100489
MELD,MELD/train/dia47/utt15,EAQ100490
MELD,MELD/train/dia47/utt16,EAQ100491
MELD,MELD/train/dia47/utt17,EAQ100492
MELD,MELD/train/dia48/utt0,EAQ100493
MELD,MELD/train/dia49/utt0,EAQ100494
MELD,MELD/train/dia49/utt1,EAQ100495
MELD,MELD/train/dia49/utt2,EAQ100496
MELD,MELD/train/dia49/utt3,EAQ100497
MELD,MELD/train/dia49/utt4,EAQ100498
MELD,MELD/train/dia49/utt5,EAQ100499
MELD,MELD/train/dia49/utt6,EAQ100500
MELD,MELD/train/dia49/utt7,EAQ100501
MELD,MELD/train/dia49/utt8,EAQ100502
MELD,MELD/train/dia49/utt9,EAQ100503
MELD,MELD/train/dia49/utt10,EAQ100504
MELD,MELD/train/dia49/utt11,EAQ100505
MELD,MELD/train/dia49/utt12,EAQ100506
MELD,MELD/train/dia49/utt13,EAQ100507
MELD,MELD/train/dia49/utt14,EAQ100508
MELD,MELD/train/dia49/utt15,EAQ100509
MELD,MELD/train/dia49/utt16,EAQ100510
MELD,MELD/train/dia49/utt17,EAQ100511
MELD,MELD/train/dia49/utt18,EAQ100512
MELD,MELD/train/dia49/utt19,EAQ100513
MELD,MELD/train/dia49/utt20,EAQ100514
MELD,MELD/train/dia49/utt21,EAQ100515
MELD,MELD/train/dia50/utt0,EAQ100516
MELD,MELD/train/dia50/utt1,EAQ100517
MELD,MELD/train/dia50/utt2,EAQ100518
MELD,MELD/train/dia50/utt3,EAQ100519
MELD,MELD/train/dia50/utt4,EAQ100520
MELD,MELD/train/dia50/utt5,EAQ100521
MELD,MELD/train/dia50/utt6,EAQ100522
MELD,MELD/train/dia50/utt7,EAQ100523
MELD,MELD/train/dia50/utt8,EAQ100524
MELD,MELD/train/dia50/utt9,EAQ100525
MELD,MELD/train/dia50/utt10,EAQ100526
MELD,MELD/train/dia50/utt11,EAQ100527
MELD,MELD/train/dia50/utt12,EAQ100528
MELD,MELD/train/dia50/utt13,EAQ100529
MELD,MELD/train/dia50/utt14,EAQ100530
MELD,MELD/train/dia50/utt15,EAQ100531
MELD,MELD/train/dia50/utt16,EAQ100532
MELD,MELD/train/dia51/utt0,EAQ100533
MELD,MELD/train/dia51/utt1,EAQ100534
MELD,MELD/train/dia51/utt2,EAQ100535
MELD,MELD/train/dia51/utt3,EAQ100536
MELD,MELD/train/dia51/utt4,EAQ100537
MELD,MELD/train/dia51/utt5,EAQ100538
MELD,MELD/train/dia51/utt6,EAQ100539
MELD,MELD/train/dia51/utt7,EAQ100540
MELD,MELD/train/dia51/utt8,EAQ100541
MELD,MELD/train/dia51/utt9,EAQ100542
MELD,MELD/train/dia51/utt10,EAQ100543
MELD,MELD/train/dia52/utt0,EAQ100544
MELD,MELD/train/dia52/utt1,EAQ100545
MELD,MELD/train/dia52/utt2,EAQ100546
MELD,MELD/train/dia52/utt3,EAQ100547
MELD,MELD/train/dia52/utt4,EAQ100548
MELD,MELD/train/dia52/utt5,EAQ100549
MELD,MELD/train/dia52/utt6,EAQ100550
MELD,MELD/train/dia52/utt7,EAQ100551
MELD,MELD/train/dia52/utt8,EAQ100552
MELD,MELD/train/dia52/utt9,EAQ100553
