ea_id,source_dataset,source_split,source_id,video_path,audio_path,text_path,start,end,language,face_quality,audio_quality,text_quality,usable_for_micro,usable_for_l4
EAQ000034,CH-SIMS,train,CH-SIMS/video_0001/0025,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0025.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0025.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0025,,,zh,missing,missing,high,false,false
EAQ000035,CH-SIMS,train,CH-SIMS/video_0001/0026,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0026.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0026.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0026,,,zh,missing,missing,high,false,false
EAQ000036,CH-SIMS,test,CH-SIMS/video_0001/0027,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0027.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0027.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0027,,,zh,missing,missing,high,false,false
EAQ000037,CH-SIMS,test,CH-SIMS/video_0001/0028,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0028.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0028.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0028,,,zh,missing,missing,high,false,false
EAQ000038,CH-SIMS,train,CH-SIMS/video_0001/0029,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0029.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0029.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0029,,,zh,missing,missing,high,false,false
EAQ000039,CH-SIMS,train,CH-SIMS/video_0001/0030,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0030.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0030.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0030,,,zh,missing,missing,high,false,false
EAQ000040,CH-SIMS,test,CH-SIMS/video_0001/0031,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0031.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0031.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0031,,,zh,missing,missing,high,false,false
EAQ000041,CH-SIMS,validation,CH-SIMS/video_0001/0032,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0032.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0032.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0032,,,zh,missing,missing,high,false,false
EAQ000042,CH-SIMS,test,CH-SIMS/video_0001/0033,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0033.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0033.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0033,,,zh,missing,missing,high,false,false
EAQ000043,CH-SIMS,train,CH-SIMS/video_0001/0034,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0034.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0034.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0034,,,zh,missing,missing,high,false,false
EAQ000044,CH-SIMS,train,CH-SIMS/video_0001/0035,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0035.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0035.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0035,,,zh,missing,missing,high,false,false
EAQ000045,CH-SIMS,train,CH-SIMS/video_0002/0001,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0001.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0001.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0001,,,zh,missing,missing,high,false,false
EAQ000046,CH-SIMS,train,CH-SIMS/video_0002/0002,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0002.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0002.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0002,,,zh,missing,missing,high,false,false
EAQ000047,CH-SIMS,test,CH-SIMS/video_0002/0003,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0003.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0003.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0003,,,zh,missing,missing,high,false,false
EAQ000048,CH-SIMS,test,CH-SIMS/video_0002/0004,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0004.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0004.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0004,,,zh,missing,missing,high,false,false
EAQ000049,CH-SIMS,train,CH-SIMS/video_0002/0005,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0005.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0005.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0005,,,zh,missing,missing,high,false,false
EAQ000050,CH-SIMS,validation,CH-SIMS/video_0002/0006,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0006.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0006.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0006,,,zh,missing,missing,high,false,false
EAQ000051,CH-SIMS,validation,CH-SIMS/video_0002/0007,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0007.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0007.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0007,,,zh,missing,missing,high,false,false
EAQ000052,CH-SIMS,test,CH-SIMS/video_0002/0008,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0008.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0008.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0008,,,zh,missing,missing,high,false,false
EAQ000053,CH-SIMS,validation,CH-SIMS/video_0002/0009,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0009.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0009.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0009,,,zh,missing,missing,high,false,false
EAQ000054,CH-SIMS,validation,CH-SIMS/video_0002/0010,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0010.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0010.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0010,,,zh,missing,missing,high,false,false
EAQ000055,CH-SIMS,train,CH-SIMS/video_0002/0011,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0011.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0011.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0011,,,zh,missing,missing,high,false,false
EAQ000056,CH-SIMS,train,CH-SIMS/video_0002/0012,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0012.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0012.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0012,,,zh,missing,missing,high,false,false
EAQ000057,CH-SIMS,train,CH-SIMS/video_0002/0013,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0013.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0013.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0013,,,zh,missing,missing,high,false,false
EAQ000058,CH-SIMS,train,CH-SIMS/video_0002/0014,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0014.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0014.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0014,,,zh,missing,missing,high,false,false
EAQ000059,CH-SIMS,train,CH-SIMS/video_0002/0015,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0015.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0015.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0015,,,zh,missing,missing,high,false,false
EAQ000060,CH-SIMS,train,CH-SIMS/video_0002/0016,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0016.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0016.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0016,,,zh,missing,missing,high,false,false
EAQ000061,CH-SIMS,test,CH-SIMS/video_0002/0017,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0017.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0017.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0017,,,zh,missing,missing,high,false,false
EAQ000062,CH-SIMS,train,CH-SIMS/video_0002/0018,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0018.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0018.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0018,,,zh,missing,missing,high,false,false
EAQ000063,CH-SIMS,train,CH-SIMS/video_0002/0019,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0019.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0019.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0019,,,zh,missing,missing,high,false,false
EAQ000064,CH-SIMS,validation,CH-SIMS/video_0002/0020,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0020.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0020.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0020,,,zh,missing,missing,high,false,false
EAQ000065,CH-SIMS,train,CH-SIMS/video_0002/0021,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0021.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0021.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0021,,,zh,missing,missing,high,false,false
EAQ000066,CH-SIMS,train,CH-SIMS/video_0002/0022,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0022.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0022.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0022,,,zh,missing,missing,high,false,false
EAQ000067,CH-SIMS,validation,CH-SIMS/video_0002/0023,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0023.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0023.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0023,,,zh,missing,missing,high,false,false
EAQ000068,CH-SIMS,train,CH-SIMS/video_0002/0024,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0024.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0024.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0024,,,zh,missing,missing,high,false,false
EAQ000069,CH-SIMS,test,CH-SIMS/video_0002/0025,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0025.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0025.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0025,,,zh,missing,missing,high,false,false
EAQ000070,CH-SIMS,validation,CH-SIMS/video_0002/0026,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0026.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0026.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0026,,,zh,missing,missing,high,false,false
EAQ000071,CH-SIMS,train,CH-SIMS/video_0002/0027,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0027.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0027.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0027,,,zh,missing,missing,high,false,false
EAQ000072,CH-SIMS,validation,CH-SIMS/video_0002/0028,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0028.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0028.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0028,,,zh,missing,missing,high,false,false
EAQ000073,CH-SIMS,test,CH-SIMS/video_0002/0029,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0029.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0029.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0029,,,zh,missing,missing,high,false,false
EAQ000074,CH-SIMS,train,CH-SIMS/video_0002/0030,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0030.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0030.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0030,,,zh,missing,missing,high,false,false
EAQ000075,CH-SIMS,train,CH-SIMS/video_0002/0031,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0031.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0031.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0031,,,zh,missing,missing,high,false,false
EAQ000076,CH-SIMS,test,CH-SIMS/video_0002/0032,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0032.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0032.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0032,,,zh,missing,missing,high,false,false
EAQ000077,CH-SIMS,test,CH-SIMS/video_0002/0033,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0033.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0033.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0033,,,zh,missing,missing,high,false,false
EAQ000078,CH-SIMS,validation,CH-SIMS/video_0002/0034,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0034.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0034.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0034,,,zh,missing,missing,high,false,false
EAQ000079,CH-SIMS,train,CH-SIMS/video_0002/0035,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0035.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0035.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0035,,,zh,missing,missing,high,false,false
EAQ000080,CH-SIMS,train,CH-SIMS/video_0002/0036,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0036.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0036.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0036,,,zh,missing,missing,high,false,false
EAQ000081,CH-SIMS,test,CH-SIMS/video_0002/0037,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0037.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0037.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0037,,,zh,missing,missing,high,false,false
EAQ000082,CH-SIMS,train,CH-SIMS/video_0002/0038,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0038.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0002/0038.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0002/0038,,,zh,missing,missing,high,false,false
EAQ000083,CH-SIMS,test,CH-SIMS/video_0003/0001,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0003/0001.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0003/0001.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0003/0001,,,zh,missing,missing,high,false,false
EAQ000084,CH-SIMS,train,CH-SIMS/video_0003/0002,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0003/0002.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0003/0002.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0003/0002,,,zh,missing,missing,high,false,false
EAQ000085,CH-SIMS,train,CH-SIMS/video_0003/0003,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0003/0003.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0003/0003.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0003/0003,,,zh,missing,missing,high,false,false
EAQ000086,CH-SIMS,train,CH-SIMS/video_0003/0004,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0003/0004.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0003/0004.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0003/0004,,,zh,missing,missing,high,false,false
