ea_id,source_dataset,source_split,source_id,video_path,audio_path,text_path,start,end,language,face_quality,audio_quality,text_quality,usable_for_micro,usable_for_l4,raw_emotion,raw_sentiment,raw_valence,raw_arousal,weak_label_hint,label_source
EAQ000032,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro01_F011,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F011.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt#Ses01F_impro01_F011,72.45,82.26,en,high,high,high,true,true,fru,,2.0000,3.5000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt#Ses01F_impro01_F011
EAQ000033,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro01_F012,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F012.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt#Ses01F_impro01_F012,85.27,88.02,en,high,high,high,true,true,ang,,2.0000,3.5000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt#Ses01F_impro01_F012
EAQ000034,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro01_F013,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F013.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt#Ses01F_impro01_F013,93.67,97.02,en,high,high,high,true,true,fru,,2.0000,4.0000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt#Ses01F_impro01_F013
EAQ000035,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro01_F014,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F014.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt#Ses01F_impro01_F014,97.89,102.96,en,high,high,high,true,true,neu,,2.5000,3.5000,neutral,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt#Ses01F_impro01_F014
EAQ000036,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro01_F015,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F015.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt#Ses01F_impro01_F015,103.97,106.71,en,high,high,high,true,true,fru,,2.0000,3.5000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt#Ses01F_impro01_F015
EAQ000037,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro01_M000,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M000.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt#Ses01F_impro01_M000,7.57,10.47,en,high,high,high,true,true,fru,,2.5000,2.0000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt#Ses01F_impro01_M000
EAQ000038,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro01_M001,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M001.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt#Ses01F_impro01_M001,10.93,14.66,en,high,high,high,true,true,fru,,2.5000,2.0000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt#Ses01F_impro01_M001
EAQ000039,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro01_M002,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M002.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt#Ses01F_impro01_M002,16.84,19.72,en,high,high,high,true,true,fru,,2.0000,3.5000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt#Ses01F_impro01_M002
EAQ000040,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro01_M003,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M003.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt#Ses01F_impro01_M003,23.47,28.03,en,high,high,high,true,true,fru,,2.5000,3.5000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt#Ses01F_impro01_M003
EAQ000041,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro01_M004,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M004.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt#Ses01F_impro01_M004,28.39,31.21,en,high,high,high,true,true,fru,,2.0000,4.0000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt#Ses01F_impro01_M004
EAQ000042,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro01_M005,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M005.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt#Ses01F_impro01_M005,31.27,39.39,en,high,high,high,true,true,fru,,2.0000,3.5000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt#Ses01F_impro01_M005
EAQ000043,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro01_M006,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M006.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt#Ses01F_impro01_M006,41.23,46.98,en,high,high,high,true,true,fru,,2.0000,3.5000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt#Ses01F_impro01_M006
EAQ000044,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro01_M007,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M007.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt#Ses01F_impro01_M007,51.40,57.64,en,high,high,high,true,true,fru,,2.5000,3.5000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt#Ses01F_impro01_M007
EAQ000045,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro01_M008,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M008.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt#Ses01F_impro01_M008,58.18,62.59,en,high,high,high,true,true,fru,,2.0000,3.5000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt#Ses01F_impro01_M008
EAQ000046,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro01_M009,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M009.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt#Ses01F_impro01_M009,65.51,73.00,en,high,high,high,true,true,fru,,2.5000,3.5000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt#Ses01F_impro01_M009
EAQ000047,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro01_M010,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M010.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt#Ses01F_impro01_M010,81.59,86.03,en,high,high,high,true,true,fru,,2.0000,4.5000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt#Ses01F_impro01_M010
EAQ000048,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro01_M011,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M011.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt#Ses01F_impro01_M011,87.15,94.39,en,high,high,high,true,true,ang,,2.0000,4.0000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt#Ses01F_impro01_M011
EAQ000049,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro01_M012,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M012.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt#Ses01F_impro01_M012,95.86,98.68,en,high,high,high,true,false,xxx,,3.0000,1.5000,,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt#Ses01F_impro01_M012
EAQ000050,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro01_M013,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M013.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt#Ses01F_impro01_M013,101.84,107.87,en,high,high,high,true,true,ang,,2.0000,4.5000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt#Ses01F_impro01_M013
EAQ000051,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro02_F000,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F000.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro02.txt#Ses01F_impro02_F000,7.27,16.60,en,high,high,high,true,true,sad,,2.5000,2.0000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro02.txt#Ses01F_impro02_F000
EAQ000052,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro02_F001,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F001.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro02.txt#Ses01F_impro02_F001,19.85,22.78,en,high,high,high,true,true,sad,,2.0000,1.5000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro02.txt#Ses01F_impro02_F001
EAQ000053,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro02_F002,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F002.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro02.txt#Ses01F_impro02_F002,26.57,32.29,en,high,high,high,true,true,sad,,2.0000,1.5000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro02.txt#Ses01F_impro02_F002
EAQ000054,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro02_F003,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F003.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro02.txt#Ses01F_impro02_F003,32.31,37.96,en,high,high,high,true,true,neu,,2.0000,2.0000,neutral,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro02.txt#Ses01F_impro02_F003
EAQ000055,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro02_F004,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F004.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro02.txt#Ses01F_impro02_F004,47.34,53.11,en,high,high,high,true,true,sad,,2.5000,2.0000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro02.txt#Ses01F_impro02_F004
EAQ000056,IEMOCAP,train,IEMOCAP/Session1/Ses01F_impro02_F005,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F005.wav,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro02.txt#Ses01F_impro02_F005,58.75,61.31,en,high,high,high,true,true,sad,,2.0000,2.0000,negative,/root/autodl-tmp/data/datasets/alipan/iemocap/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro02.txt#Ses01F_impro02_F005
